============================================================
Sistema POS — Actualizador de OTA
Sesión ID  : 1777998550071
Fecha/Hora : 2026-05-05 13:29:10.072903
Componente : backend
Versión    : 1.3.2
ZIP        : C:\Users\gines\AppData\Local\Temp\update_backend_v1.3.2.zip
Destino    : C:\laragon\www\Sistema_POS\pos-backend
============================================================
[INFO ] [13:29:10.074] Updater iniciado correctamente.
[INFO ] [13:29:21.876]   → 2930 archivos extraídos...
[INFO ] [13:29:21.896]   → 2940 archivos extraídos...
[INFO ] [13:29:21.927]   → 2950 archivos extraídos...
[INFO ] [13:29:21.953]   → 2960 archivos extraídos...
[INFO ] [13:29:21.986]   → 2970 archivos extraídos...
[INFO ] [13:29:22.011]   → 2980 archivos extraídos...
[INFO ] [13:29:22.047]   → 2990 archivos extraídos...
[INFO ] [13:29:22.068]   → 3000 archivos extraídos...
[INFO ] [13:29:22.113]   → 3010 archivos extraídos...
[INFO ] [13:29:22.145]   → 3020 archivos extraídos...
[INFO ] [13:29:22.179]   → 3030 archivos extraídos...
[INFO ] [13:29:22.217]   → 3040 archivos extraídos...
[INFO ] [13:29:22.241]   → 3050 archivos extraídos...
[INFO ] [13:29:22.262]   → 3060 archivos extraídos...
[INFO ] [13:29:22.295]   → 3070 archivos extraídos...
[INFO ] [13:29:22.312]   → 3080 archivos extraídos...
[INFO ] [13:29:22.352]   → 3090 archivos extraídos...
[INFO ] [13:29:22.376]   → 3100 archivos extraídos...
[INFO ] [13:29:22.399]   → 3110 archivos extraídos...
[INFO ] [13:29:22.418]   → 3120 archivos extraídos...
[INFO ] [13:29:22.434]   → 3130 archivos extraídos...
[INFO ] [13:29:22.452]   → 3140 archivos extraídos...
[INFO ] [13:29:22.476]   → 3150 archivos extraídos...
[INFO ] [13:29:22.494]   → 3160 archivos extraídos...
[INFO ] [13:29:22.513]   → 3170 archivos extraídos...
[INFO ] [13:29:22.538]   → 3180 archivos extraídos...
[INFO ] [13:29:22.558]   → 3190 archivos extraídos...
[INFO ] [13:29:22.582]   → 3200 archivos extraídos...
[INFO ] [13:29:22.596]   → 3210 archivos extraídos...
[INFO ] [13:29:22.614]   → 3220 archivos extraídos...
[INFO ] [13:29:22.637]   → 3230 archivos extraídos...
[INFO ] [13:29:22.662]   → 3240 archivos extraídos...
[INFO ] [13:29:22.684]   → 3250 archivos extraídos...
[INFO ] [13:29:22.714]   → 3260 archivos extraídos...
[INFO ] [13:29:22.735]   → 3270 archivos extraídos...
[INFO ] [13:29:22.754]   → 3280 archivos extraídos...
[INFO ] [13:29:22.775]   → 3290 archivos extraídos...
[INFO ] [13:29:22.792]   → 3300 archivos extraídos...
[INFO ] [13:29:22.818]   → 3310 archivos extraídos...
[INFO ] [13:29:22.836]   → 3320 archivos extraídos...
[INFO ] [13:29:22.901]   → 3330 archivos extraídos...
[INFO ] [13:29:22.919]   → 3340 archivos extraídos...
[INFO ] [13:29:22.973]   → 3350 archivos extraídos...
[INFO ] [13:29:23.013]   → 3360 archivos extraídos...
[INFO ] [13:29:23.055]   → 3370 archivos extraídos...
[INFO ] [13:29:23.091]   → 3380 archivos extraídos...
[INFO ] [13:29:23.132]   → 3390 archivos extraídos...
[INFO ] [13:29:23.159]   → 3400 archivos extraídos...
[INFO ] [13:29:23.181]   → 3410 archivos extraídos...
[INFO ] [13:29:23.208]   → 3420 archivos extraídos...
[INFO ] [13:29:23.233]   → 3430 archivos extraídos...
[INFO ] [13:29:23.251]   → 3440 archivos extraídos...
[INFO ] [13:29:23.279]   → 3450 archivos extraídos...
[INFO ] [13:29:23.313]   → 3460 archivos extraídos...
[INFO ] [13:29:23.328]   → 3470 archivos extraídos...
[INFO ] [13:29:23.346]   → 3480 archivos extraídos...
[INFO ] [13:29:23.376]   → 3490 archivos extraídos...
[INFO ] [13:29:23.398]   → 3500 archivos extraídos...
[INFO ] [13:29:23.419]   → 3510 archivos extraídos...
[INFO ] [13:29:23.436]   → 3520 archivos extraídos...
[INFO ] [13:29:23.467]   → 3530 archivos extraídos...
[INFO ] [13:29:23.488]   → 3540 archivos extraídos...
[INFO ] [13:29:23.516]   → 3550 archivos extraídos...
[INFO ] [13:29:23.543]   → 3560 archivos extraídos...
[INFO ] [13:29:23.578]   → 3570 archivos extraídos...
[INFO ] [13:29:23.603]   → 3580 archivos extraídos...
[INFO ] [13:29:23.667]   → 3590 archivos extraídos...
[INFO ] [13:29:23.695]   → 3600 archivos extraídos...
[INFO ] [13:29:23.714]   → 3610 archivos extraídos...
[INFO ] [13:29:23.738]   → 3620 archivos extraídos...
[INFO ] [13:29:23.762]   → 3630 archivos extraídos...
[INFO ] [13:29:23.786]   → 3640 archivos extraídos...
[INFO ] [13:29:23.812]   → 3650 archivos extraídos...
[INFO ] [13:29:23.845]   → 3660 archivos extraídos...
[INFO ] [13:29:23.861]   → 3670 archivos extraídos...
[INFO ] [13:29:23.881]   → 3680 archivos extraídos...
[INFO ] [13:29:23.907]   → 3690 archivos extraídos...
[INFO ] [13:29:23.947]   → 3700 archivos extraídos...
[INFO ] [13:29:23.967]   → 3710 archivos extraídos...
[INFO ] [13:29:23.990]   → 3720 archivos extraídos...
[INFO ] [13:29:24.008]   → 3730 archivos extraídos...
[INFO ] [13:29:24.025]   → 3740 archivos extraídos...
[INFO ] [13:29:24.046]   → 3750 archivos extraídos...
[INFO ] [13:29:24.066]   → 3760 archivos extraídos...
[INFO ] [13:29:24.090]   → 3770 archivos extraídos...
[INFO ] [13:29:24.116]   → 3780 archivos extraídos...
[INFO ] [13:29:24.134]   → 3790 archivos extraídos...
[INFO ] [13:29:24.157]   → 3800 archivos extraídos...
[INFO ] [13:29:24.175]   → 3810 archivos extraídos...
[INFO ] [13:29:24.223]   → 3820 archivos extraídos...
[INFO ] [13:29:24.295]   → 3830 archivos extraídos...
[INFO ] [13:29:24.366]   → 3840 archivos extraídos...
[INFO ] [13:29:24.387]   → 3850 archivos extraídos...
[INFO ] [13:29:24.426]   → 3860 archivos extraídos...
[INFO ] [13:29:24.447]   → 3870 archivos extraídos...
[INFO ] [13:29:24.473]   → 3880 archivos extraídos...
[INFO ] [13:29:24.493]   → 3890 archivos extraídos...
[INFO ] [13:29:24.514]   → 3900 archivos extraídos...
[INFO ] [13:29:24.538]   → 3910 archivos extraídos...
[INFO ] [13:29:24.554]   → 3920 archivos extraídos...
[INFO ] [13:29:24.582]   → 3930 archivos extraídos...
[INFO ] [13:29:24.597]   → 3940 archivos extraídos...
[INFO ] [13:29:24.640]   → 3950 archivos extraídos...
[INFO ] [13:29:24.718]   → 3960 archivos extraídos...
[INFO ] [13:29:24.793]   → 3970 archivos extraídos...
[INFO ] [13:29:24.829]   → 3980 archivos extraídos...
[INFO ] [13:29:24.893]   → 3990 archivos extraídos...
[INFO ] [13:29:24.957]   → 4000 archivos extraídos...
[INFO ] [13:29:24.993]   → 4010 archivos extraídos...
[INFO ] [13:29:25.018]   → 4020 archivos extraídos...
[INFO ] [13:29:25.072]   → 4030 archivos extraídos...
[INFO ] [13:29:25.127]   → 4040 archivos extraídos...
[INFO ] [13:29:25.185]   → 4050 archivos extraídos...
[INFO ] [13:29:25.253]   → 4060 archivos extraídos...
[INFO ] [13:29:25.272]   → 4070 archivos extraídos...
[INFO ] [13:29:25.293]   → 4080 archivos extraídos...
[INFO ] [13:29:25.316]   → 4090 archivos extraídos...
[INFO ] [13:29:25.355]   → 4100 archivos extraídos...
[INFO ] [13:29:25.376]   → 4110 archivos extraídos...
[INFO ] [13:29:25.415]   → 4120 archivos extraídos...
[INFO ] [13:29:25.494]   → 4130 archivos extraídos...
[INFO ] [13:29:25.587]   → 4140 archivos extraídos...
[INFO ] [13:29:25.658]   → 4150 archivos extraídos...
[INFO ] [13:29:25.702]   → 4160 archivos extraídos...
[INFO ] [13:29:25.785]   → 4170 archivos extraídos...
[INFO ] [13:29:25.938]   → 4180 archivos extraídos...
[INFO ] [13:29:26.076]   → 4190 archivos extraídos...
[INFO ] [13:29:26.187]   → 4200 archivos extraídos...
[INFO ] [13:29:26.337]   → 4210 archivos extraídos...
[INFO ] [13:29:26.429]   → 4220 archivos extraídos...
[INFO ] [13:29:26.462]   → 4230 archivos extraídos...
[INFO ] [13:29:26.494]   → 4240 archivos extraídos...
[INFO ] [13:29:26.539]   → 4250 archivos extraídos...
[INFO ] [13:29:26.595]   → 4260 archivos extraídos...
